source_id,target_id,weight
1892,1419,10
1892,1489,18
1892,1581,36
1892,1619,10
1892,1701,15
1892,1892,18
1892,1893,39
1892,1894,27
1892,1895,19
1892,1904,52
1892,2007,16
1892,2008,12
1892,2062,11
1892,2068,27
1892,2104,15
1893,7,18
1893,31,19
1893,35,43
1893,36,27
1893,58,28
1893,137,27
1893,235,32
1893,331,30
1893,353,15
1893,376,33
1893,428,14
1893,533,34
1893,808,29
1893,987,12
1893,1093,44
1893,1417,26
1893,1525,10
1893,1581,46
1893,1589,29
1893,1619,36
1893,1688,10
1893,1701,21
1893,1833,19
1893,1893,37
1893,1894,30
1893,1895,15
1893,1904,85
1893,2027,16
1893,2068,34
1893,2089,11
1893,2090,11
1893,2104,25
1893,2583,14
1893,2716,10
1893,3138,10
1893,8607,15
1893,8861,10
1893,9140,10
1894,1,10
1894,7,15
1894,31,15
1894,35,45
1894,36,37
1894,58,35
1894,68,36
1894,137,31
1894,235,24
1894,236,24
1894,245,49
1894,331,24
1894,376,10
1894,508,11
1894,533,26
1894,808,10
1894,1093,31
1894,1365,10
1894,1417,10
1894,1581,28
1894,1904,48
1894,1938,29
1894,2068,14
1894,2104,11
1894,8315,12
1895,31,11
1895,35,22
1895,68,15
1895,99,16
1895,108,10
1895,1093,20
1895,1417,23
1895,1488,14
1895,1489,22
1895,1904,22
1895,2133,10
1895,2174,10
1896,7,10
1896,331,13
1896,351,15
1896,352,15
1896,1938,10
1899,109,15
1899,331,11
1904,1,19
1904,7,30
1904,30,10
1904,55,12
1904,57,125
1904,68,76
1904,74,16
1904,87,30
1904,94,16
1904,96,12
1904,99,22
1904,105,10
1904,108,22
1904,109,168
1904,119,12
1904,122,26
1904,136,25
1904,245,143
1904,254,15
1904,281,11
1904,309,10
1904,322,10
1904,331,65
1904,375,22
1904,416,21
1904,428,16
1904,437,30
1904,443,10
1904,459,17
1904,469,11
1904,505,10
1904,604,17
1904,611,14
1904,624,10
1904,656,10
1904,726,13
1904,765,20
1904,808,37
1904,957,171
1904,963,15
1904,1102,11
1904,1240,12
1904,1419,12
1904,1429,10
1904,1488,18
1904,1489,28
1904,1498,16
1904,1589,86
1904,1730,10
1904,1799,48
1904,1809,17
1904,1851,10
1904,1879,29
1904,1904,62
1904,1916,10
1904,1936,13
1904,2007,41
1904,2008,49
1904,2065,15
1904,2068,47
1904,2133,16
1904,2142,10
1904,2166,10
1904,2167,12
1904,2174,14
1904,2220,12
1904,2239,13
1904,2246,10
1904,2247,10
1904,2440,13
1904,2685,11
1904,2689,20
1904,2696,10
1904,2716,16
1904,3834,10
1904,3889,22
1904,4187,16
1904,4406,10
1904,4460,10
1904,4741,20
1904,4762,12
1904,5810,10
1904,5826,14
1904,8315,31
1912,153,21
1912,235,41
1912,236,42
1912,278,16
1912,533,41
1912,867,10
1912,1912,15
1912,1929,26
1912,1967,38
1912,2125,13
