     source_id target_id     weight
     7   8834 10.000000
     7   8835 72.000000
     7   9370 14.000000
     7   9633 38.000000
     7  10104 11.000000
     7  10171 36.000000
     7  10174 12.000000
    12     12 14.000000
    12     15 10.000000
    12     23 14.000000
    12     30 26.000000
    12     31 38.000000
    12     34 10.000000
    12     35 19.000000
    12     36 22.000000
    12     55 14.000000
    12     58 10.000000
    12     68 73.000000
    12     74 31.000000
    12     85 28.000000
    12     99 71.000000
    12    105 13.000000
    12    185 17.000000
    12    186 18.000000
    12    197 11.000000
    12    204 43.000000
    12    245 78.000000
    12    295 24.000000
    12    300 13.000000
    12    322 34.000000
    12    338 12.000000
    12    375 18.000000
    12    379 15.000000
    12    407 16.000000
    12    416 26.000000
    12    419 12.000000
    12    428 22.000000
    12    432 12.000000
    12    438 10.000000
    12    463 19.000000
    12    474 11.000000
    12    476 11.000000
    12    477 11.000000
    12    505 10.000000
    12    508 35.000000
    12    522 12.000000
    12    524 34.000000
    12    533 110.000000
    12    535 24.000000
    12    566 11.000000
    12    573 17.000000
    12    581 18.000000
    12    583 17.000000
    12    604 17.000000
    12    611 12.000000
    12    644 37.000000
    12    668 13.000000
    12    789 42.000000
    12    803 26.000000
    12    811 17.000000
    12    823 23.000000
    12    836 10.000000
    12    987 20.000000
    12   1004 11.000000
    12   1049 15.000000
    12   1093 21.000000
    12   1132 10.000000
    12   1166 11.000000
    12   1188 40.000000
    12   1211 13.000000
    12   1264 12.000000
    12   1489 24.000000
    12   1490 15.000000
    12   1498 11.000000
    12   1641 11.000000
    12   1684 12.000000
    12   1755 16.000000
    12   2113 15.000000
    12   2371 19.000000
    12   2949 13.000000
    12   3363 13.000000
    12   3594 20.000000
    12   3669 14.000000
    12   3671 12.000000
    12   3711 10.000000
    12   3873 10.000000
    12   3988 10.000000
    12   5228 10.000000
    12   5416 12.000000
    12   6267 12.000000
    12   6921 14.000000
    12   7125 27.000000
    12   8129 14.000000
    12   8607 39.000000
    15     23 21.000000
    15     31 10.000000
    15     99 22.000000
    15    109 13.000000
    15    122 23.000000
    15    235 13.000000
    15    236 12.000000
    15    278 20.000000
    15    352 11.000000
    15    645 10.000000
    15   1093 10.000000
    15   1251 12.000000
    15   1801 11.000000
    15   7697 19.000000
    15   7698 19.000000
    15   7706 14.000000
    21     23 17.000000
    21     57 20.000000
    23     23 182.000000
    23     30 36.000000
    23     31 57.000000
    23     34 40.000000
    23     35 156.000000
    23     36 146.000000
    23     43 13.000000
    23     51 29.000000
    23     54 10.000000
    23     55 33.000000
    23     57 369.000000
    23     58 224.000000
    23     59 10.000000
    23     67 28.000000
    23     68 132.000000
    23     73 21.000000
    23     74 51.000000
    23     77 14.000000
    23     87 35.000000
    23     94 10.000000
    23     96 11.000000
    23     99 55.000000
    23    105 43.000000
    23    110 13.000000
    23    112 18.000000
    23    115 11.000000
    23    118 26.000000
    23    119 27.000000
    23    127 18.000000
    23    128 16.000000
    23    137 107.000000
    23    155 18.000000
    23    168 11.000000
    23    185 10.000000
    23    186 13.000000
    23    202 41.000000
    23    204 10.000000
    23    207 16.000000
    23    228 13.000000
    23    229 29.000000
    23    230 15.000000
    23    238 22.000000
    23    245 210.000000
    23    249 18.000000
    23    251 40.000000
    23    253 25.000000
    23    276 15.000000
    23    281 22.000000
    23    288 12.000000
    23    295 20.000000
    23    297 76.000000
    23    309 15.000000
    23    353 155.000000
    23    354 15.000000
    23    375 53.000000
    23    376 56.000000
    23    379 20.000000
    23    416 36.000000
    23    428 12.000000
    23    437 19.000000
    23    443 16.000000
    23    456 12.000000
    23    459 17.000000
    23    469 19.000000
    23    475 16.000000
    23    479 13.000000
    23    508 36.000000
    23    509 35.000000
    23    512 11.000000
    23    522 10.000000
    23    533 138.000000
    23    534 12.000000
    23    544 18.000000
    23    568 12.000000
    23    581 20.000000
    23    597 14.000000
    23    604 17.000000
    23    608 11.000000
    23    626 13.000000
    23    644 319.000000
    23    645 11.000000
    23    646 13.000000
    23    660 10.000000
    23    726 19.000000
    23    753 10.000000
    23    762 13.000000
    23    765 28.000000
    23    766 21.000000
    23    808 70.000000
    23    823 16.000000
    23    853 13.000000
    23    858 13.000000
    23    931 10.000000
    23    932 10.000000
    23    957 211.000000
    23    963 20.000000
    23    987 20.000000
    23    998 20.000000
    23   1093 158.000000
    23   1163 19.000000
    23   1211 17.000000
    23   1251 190.000000
    23   1252 178.000000
    23   1293 11.000000
    23   1355 20.000000
    23   1356 13.000000
    23   1419 16.000000
    23   1429 13.000000
    23   1447 10.000000
    23   1489 16.000000
    23   1492 20.000000
    23   1498 17.000000
    23   1511 16.000000
    23   1513 11.000000
    23   1525 13.000000
    23   1581 128.000000
    23   1582 10.000000
    23   1589 158.000000
    23   1599 33.000000
    23   1601 34.000000
    23   1610 14.000000
    23   1619 26.000000
    23   1649 11.000000
    23   1688 22.000000
    23   1701 30.000000
    23   1716 10.000000
    23   1730 15.000000
    23   1731 12.000000
    23   1732 48.000000
    23   1799 120.000000
    23   1801 575.000000
    23   1804 18.000000
    23   1805 46.000000
    23   1809 18.000000
    23   1811 105.000000
    23   1812 54.000000
    23   1813 75.000000
    23   1814 99.000000
    23   1815 20.000000
    23   1816 14.000000
    23   1824 13.000000
    23   1828 22.000000
    23   1831 12.000000
    23   1832 11.000000
    23   1833 83.000000
    23   1845 12.000000
    23   1846 12.000000
    23   1851 21.000000
    23   1852 15.000000
    23   1855 15.000000
