     source_id target_id   weight
     2    925 9.000000
     2    926 5.000000
     2    927 6.000000
     2    928 5.000000
     2    929 5.000000
     2    930 8.000000
     2    931 5.000000
     2    932 5.000000
     2    933 5.000000
     2    934 6.000000
     2    935 5.000000
     2    936 7.000000
     2    944 5.000000
     2    955 7.000000
     2    956 7.000000
     2    963 13.000000
     2    965 9.000000
     2    968 5.000000
     2    969 5.000000
     2    983 5.000000
     2   1048 7.000000
     2   1092 5.000000
     2   1123 5.000000
     2   1125 6.000000
     2   1126 5.000000
     2   1127 5.000000
     2   1142 5.000000
     2   1146 5.000000
     2   1269 5.000000
     2   1273 14.000000
     2   1282 7.000000
     2   1285 7.000000
     2   1287 8.000000
     2   1297 5.000000
     2   1298 5.000000
     2   1309 5.000000
     2   1317 6.000000
     2   1327 8.000000
     2   1479 5.000000
     2   1481 5.000000
     2   1524 12.000000
     3      4 8.000000
     3      5 6.000000
     3      7 5.000000
     3     10 5.000000
     3     16 6.000000
     3     17 7.000000
     3     18 6.000000
     3     20 7.000000
     3     29 6.000000
     3     32 7.000000
     3     39 7.000000
     3    121 5.000000
     3    168 5.000000
     3    253 14.000000
     4      4 49.000000
     4      5 120.000000
     4      7 31.000000
     4     10 68.000000
     4     13 12.000000
     4     14 11.000000
     4     15 5.000000
     4     16 169.000000
     4     17 52.000000
     4     18 67.000000
     4     19 5.000000
     4     20 70.000000
     4     22 6.000000
     4     23 6.000000
     4     25 5.000000
     4     29 44.000000
     4     31 7.000000
     4     32 12.000000
     4     34 5.000000
     4     37 9.000000
     4     38 10.000000
     4     39 43.000000
     4     41 5.000000
     4     42 5.000000
     4     43 10.000000
     4     44 8.000000
     4     47 14.000000
     4     48 12.000000
     4     49 5.000000
     4     51 5.000000
     4     53 9.000000
     4     55 8.000000
     4     56 7.000000
     4     61 11.000000
     4     68 58.000000
     4     72 7.000000
     4     82 12.000000
     4     83 26.000000
     4     88 15.000000
     4     89 5.000000
     4     93 6.000000
     4     95 8.000000
     4    107 29.000000
     4    112 67.000000
     4    135 5.000000
     4    141 26.000000
     4    143 14.000000
     4    167 16.000000
     4    168 27.000000
     4    179 20.000000
     4    181 12.000000
     4    193 6.000000
     4    199 15.000000
     4    213 8.000000
     4    218 29.000000
     4    220 13.000000
     4    244 6.000000
     4    253 53.000000
     4    263 6.000000
     4    309 6.000000
     4    310 6.000000
     4    313 7.000000
     4    314 6.000000
     4    315 6.000000
     4    317 12.000000
     4    318 8.000000
     4    326 6.000000
     4    327 5.000000
     4    328 5.000000
     4    335 8.000000
     4    336 5.000000
     4    337 6.000000
     4    379 19.000000
     4    380 6.000000
     4    385 6.000000
     4    395 7.000000
     4    396 10.000000
     4    397 5.000000
     4    401 6.000000
     4    403 7.000000
     4    409 15.000000
     4    410 10.000000
     4    418 24.000000
     4    421 16.000000
     4    433 5.000000
     4    449 7.000000
     4    460 5.000000
     4    481 6.000000
     4    484 16.000000
     4    485 17.000000
     4    486 25.000000
     4    511 10.000000
     4    514 7.000000
     4    523 9.000000
     4    525 44.000000
     4    555 17.000000
     4    578 7.000000
     4    593 14.000000
     4    594 16.000000
     4    626 24.000000
     4    671 10.000000
     4    691 15.000000
     4    722 6.000000
     4    729 7.000000
     4    735 8.000000
     4    739 7.000000
     4    744 7.000000
     4    753 7.000000
     4    770 13.000000
     4    779 6.000000
     4    786 16.000000
     4    795 5.000000
     4    796 11.000000
     4    797 11.000000
     4    804 12.000000
     4    810 5.000000
     4    812 14.000000
     4    817 7.000000
     4    842 9.000000
     4    876 11.000000
     4    877 5.000000
     4    879 9.000000
     4    880 11.000000
     4    881 7.000000
     4    882 9.000000
     4    883 12.000000
     4    884 5.000000
     4    885 8.000000
     4    886 5.000000
     4    887 8.000000
     4    888 5.000000
     4    889 7.000000
     4    892 7.000000
     4    893 7.000000
     4    894 7.000000
     4    899 8.000000
     4    903 5.000000
     4    906 12.000000
     4    908 39.000000
     4    909 39.000000
     4    910 19.000000
     4    921 9.000000
     4    922 11.000000
     4    927 11.000000
     4    930 8.000000
     4    936 16.000000
     4    963 8.000000
     4    964 5.000000
     4    965 15.000000
     4    967 8.000000
     4    975 6.000000
     4    976 12.000000
     4    978 5.000000
     4    979 5.000000
     4    983 7.000000
     4    985 5.000000
     4    987 9.000000
     4    990 11.000000
     4   1011 7.000000
     4   1017 9.000000
     4   1053 6.000000
     4   1054 23.000000
     4   1056 5.000000
     4   1060 11.000000
     4   1061 7.000000
     4   1067 6.000000
     4   1069 5.000000
     4   1070 5.000000
     4   1071 12.000000
     4   1079 7.000000
     4   1082 8.000000
     4   1094 8.000000
     4   1115 5.000000
     4   1160 5.000000
     4   1176 6.000000
     4   1178 8.000000
     4   1238 6.000000
     4   1250 10.000000
     4   1253 5.000000
     4   1257 24.000000
     4   1263 13.000000
     4   1269 5.000000
     4   1273 38.000000
     4   1281 32.000000
     4   1287 9.000000
     4   1292 5.000000
     4   1297 5.000000
     4   1299 5.000000
     4   1306 7.000000
     4   1317 10.000000
     4   1321 36.000000
     4   1327 10.000000
     4   1330 10.000000
     4   1332 9.000000
     4   1334 11.000000
     4   1340 6.000000
     4   1361 5.000000
     4   1372 5.000000
     4   1375 24.000000
     4   1414 5.000000
     4   1415 5.000000
     4   1423 7.000000
     4   1424 7.000000
     4   1425 6.000000
     4   1461 5.000000
     4   1466 5.000000
     4   1468 9.000000
     4   1471 7.000000
     4   1472 11.000000
     4   1473 9.000000
     4   1478 19.000000
     4   1479 9.000000
     4   1481 6.000000
     4   1484 7.000000
     4   1485 29.000000
     4   1486 26.000000
     4   1488 8.000000
     4   1524 8.000000
     4   1537 5.000000
     4   1538 32.000000
     4   1580 23.000000
     4   1614 21.000000
     4   1627 7.000000
     4   1634 7.000000
     4   1638 7.000000
     4   1640 9.000000
     4   1650 8.000000
     4   1671 11.000000
     4   1721 8.000000
     4   1747 6.000000
     4   1754 6.000000
     4   1816 5.000000
     4   1819 7.000000
     4   1840 8.000000
     4   1853 7.000000
     4   1941 18.000000
     4   1942 8.000000
     4   1945 33.000000
     4   1948 5.000000
     4   1949 8.000000
     4   1953 6.000000
     4   1954 10.000000
     4   1956 5.000000
     4   1957 36.000000
     4   1964 19.000000
     4   1965 30.000000
     4   1991 5.000000
     4   1992 11.000000
     4   1993 28.000000
     4   2023 9.000000
     4   2045 10.000000
     4   2102 6.000000
     4   2109 8.000000
     4   2110 10.000000
     4   2119 6.000000
     4   2120 5.000000
     4   2122 7.000000
     4   2125 11.000000
     4   2127 7.000000
     4   2128 9.000000
     4   2135 5.000000
     4   2144 8.000000
     4   2154 8.000000
     4   2156 16.000000
     4   2157 5.000000
     4   2160 5.000000
     4   2162 9.000000
     4   2166 5.000000
     4   2169 5.000000
     4   2170 9.000000
     4   2171 9.000000
     4   2172 12.000000
     4   2174 9.000000
     4   2177 5.000000
     4   2179 11.000000
     4   2180 5.000000
     4   2181 7.000000
     4   2182 16.000000
     4   2187 6.000000
     4   2205 5.000000
     4   2207 6.000000
     4   2208 5.000000
     4   2209 23.000000
     4   2210 18.000000
     4   2216 13.000000
     4   2217 13.000000
     4   2220 6.000000
     4   2223 6.000000
     4   2224 17.000000
     4   2251 19.000000
     4   2252 21.000000
     4   2254 7.000000
     4   2255 5.000000
     4   2271 6.000000
     4   2272 5.000000
     4   2274 6.000000
     4   2336 8.000000
