     source_id target_id    weight
    38     43 11.000000
    38     68 12.000000
    39     39 21.000000
    39     43 10.000000
    39     61 10.000000
    39     67 20.000000
    39     68 30.000000
    39     74 21.000000
    39     76 10.000000
    39     77 23.000000
    39     79 12.000000
    39     81 26.000000
    39     82 16.000000
    39     83 16.000000
    39     90 17.000000
    39    107 11.000000
    39    112 21.000000
    39    136 10.000000
    39    179 16.000000
    39    248 10.000000
    39    253 23.000000
    39    493 17.000000
    39    525 15.000000
    39    735 12.000000
    39    786 11.000000
    39    909 11.000000
    39    963 16.000000
    39    965 15.000000
    39    976 12.000000
    39   1001 12.000000
    39   1071 13.000000
    39   1993 12.000000
    39   2366 15.000000
    43    253 21.000000
    47     47 15.000000
    47     49 12.000000
    47     63 11.000000
    47     68 30.000000
    47    112 15.000000
    47    474 17.000000
    47    786 14.000000
    47   2179 17.000000
    49     68 21.000000
    49     74 12.000000
    53     68 13.000000
    55     68 13.000000
    56     68 12.000000
    61      5 15.000000
    61     77 14.000000
    61     81 10.000000
    61    473 11.000000
    61    525 11.000000
    61   1321 17.000000
    61   1927 12.000000
    61   1957 10.000000
    61   1970 10.000000
    62    542 12.000000
    63     68 30.000000
    63    216 11.000000
    67      2 17.000000
    67      4 35.000000
    67     10 10.000000
    67     16 40.000000
    67     18 12.000000
    67     67 22.000000
    67     68 39.000000
    67     77 13.000000
    67     81 14.000000
    67     88 10.000000
    67     90 12.000000
    67    107 12.000000
    67    168 20.000000
    67    253 16.000000
    67    282 14.000000
    67    347 10.000000
    67    635 17.000000
    67    786 10.000000
    67    796 10.000000
    67    804 32.000000
    67    908 34.000000
    67    976 22.000000
    67    985 10.000000
    67    987 11.000000
    67    990 16.000000
    67   1006 11.000000
    67   1580 28.000000
    67   1993 34.000000
    67   3482 24.000000
    67   3674 16.000000
    67   3676 11.000000
    68      2 56.000000
    68     16 19.000000
    68     17 11.000000
    68     18 17.000000
    68     20 25.000000
    68     68 47.000000
    68     70 11.000000
    68     74 10.000000
    68     77 24.000000
    68     81 10.000000
    68     83 11.000000
    68     87 17.000000
    68     88 12.000000
    68     90 16.000000
    68     91 14.000000
    68    107 13.000000
    68    112 29.000000
    68    130 17.000000
    68    168 17.000000
    68    199 11.000000
    68    216 29.000000
    68    218 17.000000
    68    220 19.000000
    68    253 60.000000
    68    347 10.000000
    68    379 13.000000
    68    396 11.000000
    68    473 11.000000
    68    484 11.000000
    68    485 11.000000
    68    486 12.000000
    68    525 10.000000
    68    729 11.000000
    68    756 11.000000
    68    783 10.000000
    68    784 13.000000
    68    786 18.000000
    68    791 21.000000
    68    795 13.000000
    68    796 20.000000
    68    804 12.000000
    68    812 14.000000
    68    908 12.000000
    68    909 14.000000
    68    912 10.000000
    68    922 14.000000
    68    927 13.000000
    68    961 12.000000
    68    965 10.000000
    68    976 14.000000
    68    979 11.000000
    68    985 10.000000
    68    987 11.000000
    68    990 17.000000
    68   1036 14.000000
    68   1047 10.000000
    68   1054 13.000000
    68   1273 17.000000
    68   1747 10.000000
    68   1751 12.000000
    72      5 19.000000
    72     18 11.000000
    72     20 12.000000
    72     77 10.000000
    73      2 13.000000
    73      4 20.000000
    73      7 17.000000
    73     16 28.000000
    73     17 15.000000
    73     18 11.000000
    73     20 25.000000
    73     74 35.000000
    73     77 17.000000
    73    107 13.000000
    73    112 18.000000
    73    248 13.000000
    73    532 14.000000
    73   2366 10.000000
    74      2 32.000000
    74      4 31.000000
    74     16 41.000000
    74     18 30.000000
    74     20 40.000000
    74     74 17.000000
    74     77 27.000000
    74    107 16.000000
    74    112 26.000000
    74    167 10.000000
    74    199 17.000000
    74    201 11.000000
    74    248 29.000000
    74    253 47.000000
    74    262 12.000000
    74    313 10.000000
    74    537 10.000000
    74    538 11.000000
    74    539 10.000000
    74    542 21.000000
    74    544 21.000000
    74    709 13.000000
    74    744 10.000000
    74    908 10.000000
    74    909 11.000000
    74    910 14.000000
    74   1538 10.000000
    74   2224 10.000000
    74   2373 19.000000
    76      4 20.000000
    76     17 18.000000
    76     18 13.000000
    76     76 11.000000
    76     77 17.000000
    76     81 23.000000
    76    112 13.000000
    76   1580 12.000000
    76   1930 20.000000
    76   1950 11.000000
    76   1986 12.000000
    76   1993 16.000000
    77      4 86.000000
    77     13 15.000000
    77     14 21.000000
    77     16 149.000000
    77     18 82.000000
    77     20 63.000000
    77     77 43.000000
    77     81 29.000000
    77     83 10.000000
    77     95 14.000000
    77    101 15.000000
    77    107 68.000000
    77    112 70.000000
    77    121 12.000000
    77    128 26.000000
    77    129 17.000000
    77    130 15.000000
    77    141 54.000000
    77    143 13.000000
    77    199 22.000000
    77    201 20.000000
    77    205 10.000000
    77    218 23.000000
    77    347 19.000000
    77    354 13.000000
    77    355 40.000000
    77    360 14.000000
    77    362 17.000000
    77    364 12.000000
    77    377 11.000000
    77    397 13.000000
    77    473 18.000000
    77    523 11.000000
    77    525 47.000000
    77    532 12.000000
    77    533 10.000000
    77    564 13.000000
    77    610 27.000000
    77    696 10.000000
    77    722 10.000000
    77    908 59.000000
    77    909 58.000000
    77    936 13.000000
    77    976 16.000000
    77   1001 10.000000
    77   1047 13.000000
    77   1245 28.000000
    77   1250 15.000000
    77   1253 10.000000
    77   1306 10.000000
    77   1317 16.000000
    77   1321 46.000000
    77   1325 20.000000
    77   1327 27.000000
    77   1330 24.000000
    77   1375 21.000000
    77   1423 12.000000
    77   1424 12.000000
    77   1434 11.000000
    77   1471 14.000000
    77   1485 30.000000
    77   1524 17.000000
    77   1537 12.000000
    77   1538 77.000000
    77   1580 18.000000
    77   1927 25.000000
    77   1957 28.000000
    77   1964 15.000000
    77   1965 34.000000
    77   1966 10.000000
